local_id,paper_id,title,year,first_author,institution,country,venue,subtopic,citations,references,n_authors,author_share
P0118,https://openalex.org/W4387579216,Artificial Intelligence (AI) Workflow for Catalyst Design and Optimization,2023,Nung Siong Lai,Tsinghua University,CN,Industrial & Engineering Chemistry Research,Machine Learning in Materials Science,48,42,7,0.1428571428571428
P0125,https://openalex.org/W3008472299,Transforming Global Health with AI,2020,Mehul C. Mehta,Harvard Global Health Institute,US,New England Journal of Medicine,Artificial Intelligence in Healthcare and Education,39,2,3,0.3333333333333333
P0128,https://openalex.org/W3122498205,AI-enabled business models in legal services: from traditional law firms to next-generation law companies?,2020,John Armour,University Of Oxford,GB,Journal of Professions and Organization,Artificial Intelligence in Law,98,103,2,0.5
P0139,https://openalex.org/W4384665085,The impact of Chat Generative Pre-trained Transformer (ChatGPT) on medical education,2023,Jonathan J Y Heng,National University Of Singapore,SG,Postgraduate Medical Journal,Artificial Intelligence in Healthcare and Education,38,11,3,0.3333333333333333
P0145,https://openalex.org/W4403791424,"From Multimodal LLM to Human-level AI: Modality, Instruction, Reasoning and Beyond",2024,Hao Fei,National University Of Singapore,SG,Unknown,Natural Language Processing Techniques,11,11,7,0.1428571428571428
P0152,https://openalex.org/W3185885987,"Guest Editorial Explainable AI: Towards Fairness, Accountability, Transparency and Trust in Healthcare",2021,Arash Shaban-Nejad,University Of Tennessee Health Science Center,US,IEEE Journal of Biomedical and Health Informatics,Artificial Intelligence in Healthcare and Education,56,17,4,0.25
P0153,https://openalex.org/W4400680365,Generative AI Beyond LLMs: System Implications of Multi-Modal Generation,2024,Alicia Golden,Harvard University Press,US,Unknown,Natural Language Processing Techniques,9,37,11,0.0909090909090909
P0162,https://openalex.org/W4390229778,Twelve tips to leverage AI for efficient and effective medical question generation: A guide for educators using Chat GPT,2023,Inthrani Raja Indran,National University Of Singapore,SG,Medical Teacher,Artificial Intelligence in Healthcare and Education,54,11,4,0.25
P0166,https://openalex.org/W4401443596,Data-efficient fine-tuning of foundational models for first-principles quality sublimation enthalpies,2024,Harveen Kaur,University Of Cambridge,GB,Faraday Discussions,Machine Learning in Materials Science,18,86,9,0.1111111111111111
P0174,https://openalex.org/W4393190288,Have AI-Generated Texts from LLM Infiltrated the Realm of Scientific Writing? A Large-Scale Analysis of Preprint Platforms,2024,Huzi Cheng,Indiana University Bloomington,US,bioRxiv (Cold Spring Harbor Laboratory),Artificial Intelligence in Healthcare and Education,9,22,10,0.1
P0175,https://openalex.org/W4223896955,Semantic Representations for NLP Using VerbNet and the Generative Lexicon,2022,Susan Windisch Brown,University Of Colorado Boulder,US,Frontiers in Artificial Intelligence,Natural Language Processing Techniques,15,48,6,0.1666666666666666
P0177,https://openalex.org/W3166979522,TFix: Learning to Fix Coding Errors with a Text-to-Text Transformer,2021,Berkay Berabi,Eth Zurich,CH,Unknown,Natural Language Processing Techniques,38,33,4,0.25
P0182,https://openalex.org/W3030951257,Urban Dictionary Embeddings for Slang NLP Applications,2020,Steven R. Wilson,Association For Computing Machinery,US,Language Resources and Evaluation,Natural Language Processing Techniques,16,0,5,0.2
P0185,https://openalex.org/W4224284596,EHR Foundation Models Improve Robustness in the Presence of Temporal Distribution Shift,2022,Lin Lawrence Guo,Hospital For Sick Children,CA,bioRxiv (Cold Spring Harbor Laboratory),Machine Learning in Healthcare,11,34,9,0.1111111111111111
P0186,https://openalex.org/W4390491508,Peer Review in the Age of Generative AI,2024,Atreyi Kankanhalli,National University Of Singapore,SG,Journal of the Association for Information Systems,Artificial Intelligence in Healthcare and Education,25,43,1,1.0
P0188,https://openalex.org/W4378901087,Stakeholder Perspectives on the Ethics of AI in Distance-Based Higher Education,2023,Wayne Holmes,University College London,GB,The International Review of Research in Open and Distributed Learning,Artificial Intelligence in Healthcare and Education,36,44,4,0.25
P0189,https://openalex.org/W2042296808,Natural language translation at the intersection of AI and HCI,2015,Spence Green,University Of Washington,US,Communications of the ACM,Natural Language Processing Techniques,29,33,3,0.3333333333333333
P0191,https://openalex.org/W2606283965,Proceedings of the 1st Workshop on Evaluating Vector-Space Representations for NLP,2016,Omer Levy,École Normale Supérieure,BI,Unknown,Natural Language Processing Techniques,19,309,40,0.025
P0195,https://openalex.org/W3106070274,Pruning Redundant Mappings in Transformer Models via Spectral-Normalized Identity Prior,2020,Zi Lin,California University Of Pennsylvania,US,Unknown,Natural Language Processing Techniques,31,64,5,0.2
P0201,https://openalex.org/W4412158322,🧜Siren’s Song in the AI Ocean: A Survey on Hallucination in Large Language Models,2025,Yue Zhang,Shanghai Artificial Intelligence Laboratory,,Computational Linguistics,Machine Learning in Healthcare,32,22,15,0.0666666666666666
P0206,https://openalex.org/W3216580380,Interpreting Potts and Transformer Protein Models Through the Lens of Simplified Attention,2021,Nicholas Bhattacharya,"University Of California, Berkeley",US,Unknown,Machine Learning in Bioinformatics,23,37,8,0.125
P0207,https://openalex.org/W4282837296,The AI Will See You Now: Feasibility and Acceptability of a Conversational AI Medical Interviewing System,2022,Grace Hong,Stanford University,US,JMIR Formative Research,Artificial Intelligence in Healthcare and Education,18,16,3,0.3333333333333333
P0214,https://openalex.org/W4385066501,AI language models cannot replace human research participants,2023,Jacqueline Harding,Stanford University,US,AI & Society,Artificial Intelligence in Healthcare and Education,36,3,4,0.25
P0215,https://openalex.org/W2795270513,Phase‐Mapper: Accelerating Materials Discovery with AI,2018,Junwen Bai,Cornell University,US,AI Magazine,Machine Learning in Materials Science,23,18,10,0.1
P0216,https://openalex.org/W4377020015,The promise and pitfalls of AI for molecular and materials synthesis,2023,Nicholas David,University Of Michigan,US,Nature Computational Science,Machine Learning in Materials Science,21,21,3,0.3333333333333333
P0219,https://openalex.org/W4389332140,Unleashing the Potential of Conversational AI: Amplifying Chat-GPT’s Capabilities and Tackling Technical Hurdles,2023,Vikas Hassija,National University Of Singapore,SG,IEEE Access,Artificial Intelligence in Healthcare and Education,37,197,5,0.2
P0223,https://openalex.org/W4387823534,Editors’ statement on the responsible use of generative AI technologies in scholarly journal publishing,2023,Gregory E. Kaebnick,Hastings Center,US,Medicine Health Care and Philosophy,Artificial Intelligence in Healthcare and Education,29,9,9,0.1111111111111111
P0224,https://openalex.org/W4387184560,Understanding the performance and reliability of NLP tools: a comparison of four NLP tools predicting stroke phenotypes in radiology reports,2023,Arlene Casey,University Of Edinburgh,GB,Frontiers in Digital Health,Artificial Intelligence in Healthcare and Education,7,20,18,0.0555555555555555
P0230,https://openalex.org/W4399070913,How Can Large Language Models Help Humans in Design And Manufacturing? Part 2: Synthesizing an End-to-End LLM-Enabled Design and Manufacturing Workflow,2024,Liane Makatura,Massachusetts Institute Of Technology,US,Harvard Data Science Review,Natural Language Processing Techniques,25,0,18,0.0555555555555555
P0231,https://openalex.org/W3175042876,On Orthogonality Constraints for Transformers,2021,Aston Zhang,Université De Montréal,CA,Unknown,Natural Language Processing Techniques,9,32,9,0.1111111111111111
P0233,https://openalex.org/W3205082678,A Transformer Model for Retrosynthesis,2019,Pavel Karpov,Institute Of Structural And Molecular Biology,GB,Unknown,Machine Learning in Materials Science,9,0,3,0.3333333333333333
P0238,https://openalex.org/W4309194129,A unifying force for the realization of medical AI,2022,Jochen K. Lennerz,Harvard University,US,npj Digital Medicine,Artificial Intelligence in Healthcare and Education,15,6,4,0.25
P0243,https://openalex.org/W4394858800,How I GPT It: Development of Custom Artificial Intelligence (AI) Chatbots for Surgical Education,2024,Tejas S. Sathe,Columbia University Irving Medical Center,US,Journal of surgical education,Artificial Intelligence in Healthcare and Education,21,12,6,0.1666666666666666
P0249,https://openalex.org/W2972805539,"The Ethics of AI in Biomedical Research, Patient Care and Public Health",2019,Alessandro Blasimme,Eth Zurich,CH,SSRN Electronic Journal,Artificial Intelligence in Healthcare and Education,20,1,2,0.5
P0251,https://openalex.org/W4396809860,TransPTM: a transformer-based model for non-histone acetylation site prediction,2024,Lingkuan Meng,City University Of Hong Kong,HK,Briefings in Bioinformatics,Machine Learning in Bioinformatics,19,55,8,0.125
P0252,https://openalex.org/W3030343076,Cascaded Text Generation with Markov Transformers,2022,Yuntian Deng,Harvard University Press,US,arXiv (Cornell University),Natural Language Processing Techniques,11,67,2,0.5
P0262,https://openalex.org/W4407230380,A multimodal multidomain multilingual medical foundation model for zero shot clinical diagnosis,2025,Fenglin Liu,University Of Oxford,GB,npj Digital Medicine,Machine Learning in Healthcare,7,77,12,0.0833333333333333
P0267,https://openalex.org/W4360762369,How ChatGPT and Generative AI Systems will Revolutionize Legal Services and the Legal Profession,2023,Rupert Macey-Dare,Minerva Laboratories (United Kingdom),GB,SSRN Electronic Journal,Artificial Intelligence in Law,19,0,1,1.0
P0270,https://openalex.org/W3164012388,Patient-specific COVID-19 resource utilization prediction using fusion AI model,2021,Amara Tariq,Emory University,US,npj Digital Medicine,Machine Learning in Healthcare,32,28,8,0.125
P0271,https://openalex.org/W4402916449,LLM-Seg: Bridging Image Segmentation and Large Language Model Reasoning,2024,Junchi Wang,Eth Zurich,CH,Unknown,Natural Language Processing Techniques,13,38,2,0.5
P0272,https://openalex.org/W3006074118,"The Legal and International Situation of AI, Robotics and Big Data With Attention to Healthcare",2019,Julia M. Puaschunder,Columbia University,US,SSRN Electronic Journal,Artificial Intelligence in Healthcare and Education,20,0,1,1.0
P0287,https://openalex.org/W2990155803,Explainable AI,2019,Alwin Yaoxian Zhang,Singhealth,SG,Unknown,Machine Learning in Healthcare,8,17,5,0.2
P0296,https://openalex.org/W4200036412,Overlooked Trustworthiness of Explainability in Medical AI,2021,Jiajin Zhang,Rensselaer Polytechnic Institute,US,bioRxiv (Cold Spring Harbor Laboratory),Artificial Intelligence in Healthcare and Education,9,11,5,0.2
P0301,https://openalex.org/W4400700328,Chronic Disease Management through an AI-Powered Application,2024,Sabira Arefin,Harvard Global Health Institute,US,Journal of Service Science and Management,Artificial Intelligence in Healthcare,12,15,1,1.0
P0302,https://openalex.org/W4399144562,AIsop: Exploring Immersive VR Storytelling Leveraging Generative AI,2024,Elia Gatti,University College London,GB,Unknown,Artificial Intelligence in Games,10,13,4,0.25
P0309,https://openalex.org/W4411150624,AI aversion or appreciation? A capability–personalization framework and a meta-analytic review.,2025,Xin Qin,Sun Yat-Sen University,CN,Psychological Bulletin,Artificial Intelligence in Healthcare and Education,13,0,8,0.125
P0310,https://openalex.org/W4402134510,An international study presenting a federated learning AI platform for pediatric brain tumors,2024,Edward H. Lee,Stanford University,US,Nature Communications,Artificial Intelligence in Healthcare and Education,17,27,44,0.0227272727272727
P0313,https://openalex.org/W4394789495,What’s artificial intelligence (AI) got to do with it—inequality and public health?,2024,Premila Webster,University Of Oxford,GB,Journal of Public Health,Artificial Intelligence in Healthcare and Education,13,8,2,0.5
P0319,https://openalex.org/W4408705811,Transformers and large language models are efficient feature extractors for electronic health record studies,2025,Kevin Yuan,Open Data Institute,GB,Communications Medicine,Machine Learning in Healthcare,9,25,7,0.1428571428571428
P0320,https://openalex.org/W4321496489,AI writing tools could hand scientists the ‘gift of time’,2023,John Tregoning,Imperial College London,GB,Nature,Artificial Intelligence in Healthcare and Education,16,2,1,1.0
P0324,https://openalex.org/W4378194263,ChatGPT in nuclear medicine and radiology: lights and shadows in the AI bionetwork,2023,Riccardo Laudicella,University Of Palermo,IT,Clinical and Translational Imaging,Artificial Intelligence in Healthcare and Education,9,23,6,0.1666666666666666
P0326,https://openalex.org/W4221160432,Regression Transformer: Concurrent sequence regression and generation for molecular language modeling,2022,Jannis Born,Eth Zurich,CH,Repository for Publications and Research Data (ETH Zurich),Machine Learning in Materials Science,8,68,2,0.5
P0327,https://openalex.org/W4234678828,"Domain Adaptation and Representation Transfer, and Affordable Healthcare and AI for Resource Diverse Global Health",2021,Shadi Albarqouni,Helmholtz Zentrum München,DE,Lecture notes in computer science,Artificial Intelligence in Healthcare and Education,21,5,11,0.0909090909090909
P0328,https://openalex.org/W4387107816,AI-clinician collaboration via disagreement prediction: A decision pipeline and retrospective analysis of real-world radiologist-AI interactions,2023,Morgan Sanchez,Harvard University,US,Cell Reports Medicine,Artificial Intelligence in Healthcare and Education,9,13,8,0.125
P0334,https://openalex.org/W4213217713,Ethical Challenges of Integrating AI into Healthcare,2022,Lisa Soleymani Lehmann,Brigham And Women'S Hospital,US,Artificial Intelligence in Medicine,Artificial Intelligence in Healthcare and Education,7,18,1,1.0
P0336,https://openalex.org/W2964727008,AI-Enabled Business Models in Legal Services: From Traditional Law Firms to Next-Generation Law Companies?,2019,John Armour,European Corporate Governance Institute,BE,SSRN Electronic Journal,Artificial Intelligence in Law,19,84,2,0.5
P0339,https://openalex.org/W4362679729,Conversion of Legal Agreements into Smart Legal Contracts using NLP,2023,Eason Chen,National Taiwan Normal University,TW,Unknown,Artificial Intelligence in Law,4,6,6,0.1666666666666666
P0341,https://openalex.org/W4388825532,Openly accessible LLMs can help us to understand human cognition,2023,Michael C. Frank,Stanford University,US,Nature Human Behaviour,Natural Language Processing Techniques,8,10,1,1.0
P0342,https://openalex.org/W4386567024,Proceedings of the First Workshop on Cross-Cultural Considerations in NLP (C3NLP),2023,Idris Akinade,University Of Electronic Science And Technology Of China,CN,Unknown,Natural Language Processing Techniques,5,278,100,0.01
P0343,https://openalex.org/W3138037053,The Vision Behind MLPerf: Understanding AI Inference Performance,2021,Vijay Janapa Reddi,Harvard University Press,US,IEEE Micro,Machine Learning in Materials Science,12,22,6,0.1666666666666666
P0345,https://openalex.org/W3145099584,Meta-learning reduces the amount of data needed to build AI models in oncology,2021,Olivier Gevaert,Stanford University,US,British Journal of Cancer,Machine Learning and Data Classification,13,10,1,1.0
P0354,https://openalex.org/W4402436635,AI-induced hyper-learning in humans,2024,Moshe Glickman,University College London,GB,Current Opinion in Psychology,Machine Learning in Healthcare,6,44,2,0.5
P0357,https://openalex.org/W3196987048,Ethical Challenges of Integrating AI into Healthcare,2021,Lisa Soleymani Lehmann,Brigham And Women'S Hospital,US,Artificial Intelligence in Medicine,Artificial Intelligence in Healthcare and Education,6,20,1,1.0
P0359,https://openalex.org/W4391601816,Integrating AI Language Models in Qualitative Research: Replicating Interview Data Analysis with ChatGPT,2024,Mohammad S. Jalali,Harvard University,US,SSRN Electronic Journal,Machine Learning in Healthcare,13,0,2,0.5
P0365,https://openalex.org/W4210610811,Commentary: human-centred AI: the new zeitgeist,2022,Yvonne Rogers,London Centre For Nanotechnology,GB,Human-Computer Interaction,Artificial Intelligence in Healthcare and Education,9,1,1,1.0
P0372,https://openalex.org/W4387965033,Bariatric Evaluation Through AI: a Survey of Expert Opinions Versus ChatGPT-4 (BETA-SEOV),2023,Amir Hossein Davarpanah Jazi,Iran University Of Medical Sciences,IR,Obesity Surgery,Artificial Intelligence in Healthcare and Education,18,41,31,0.032258064516129
P0373,https://openalex.org/W4415230966,SycEval: Evaluating LLM Sycophancy,2025,Aaron Fanous,Stanford University,US,Proceedings of the AAAI/ACM Conference on AI Ethics and Society,Natural Language Processing Techniques,2,0,9,0.1111111111111111
P0377,https://openalex.org/W4408314484,Editorial: Bench to bedside: AI and remote patient monitoring,2025,Ramin Ramezani,"University Of California, Los Angeles",US,Frontiers in Digital Health,Artificial Intelligence in Healthcare and Education,10,0,4,0.25
P0381,https://openalex.org/W3214186955,Named Entity Recognition in Historic Legal Text: A Transformer and State Machine Ensemble Method,2021,Fernando Trias,Harvard University Press,US,Unknown,Artificial Intelligence in Law,9,24,4,0.25
P0383,https://openalex.org/W4313141075,AI in Medicine: Some Pertinent History,2022,Edward H. Shortliffe,Columbia University,US,Cognitive informatics in biomedicine and healthcare,Machine Learning in Healthcare,5,48,2,0.5
P0384,https://openalex.org/W2963005527,Phase-Mapper: An AI Platform to Accelerate High Throughput Materials Discovery,2017,Yexiang Xue,Cornell University,US,Proceedings of the AAAI Conference on Artificial Intelligence,Machine Learning in Materials Science,10,0,10,0.1
P0387,https://openalex.org/W3114587717,Legal Language Modeling with Transformers,2020,Lazar Peric,Eth Zurich,CH,Repository for Publications and Research Data (ETH Zurich),Artificial Intelligence in Law,4,3,4,0.25
P0388,https://openalex.org/W3118942829,Five principles for the intelligent use of AI in medical imaging,2021,Errol Colak,University Of Toronto,CA,Intensive Care Medicine,Artificial Intelligence in Healthcare and Education,9,15,3,0.3333333333333333
P0390,https://openalex.org/W4388034690,Discovering Process Dynamics for Scalable Perovskite Solar Cell Manufacturing with Explainable AI,2023,Lukas Klein,Eth Zurich,CH,Advanced Materials,Machine Learning in Materials Science,13,49,9,0.1111111111111111
P0400,https://openalex.org/W4394943298,Patient Portal — When Patients Take AI into Their Own Hands,2024,Carey Goldberg,Massachusetts Institute Of Technology,US,NEJM AI,Artificial Intelligence in Healthcare and Education,7,0,1,1.0
P0401,https://openalex.org/W3128213667,491 ScanNav® audit: an AI-powered screening assistant for fetal anatomical ultrasound,2021,Mohammad Yaqub,Intelligent Health (United Kingdom),GB,American Journal of Obstetrics and Gynecology,Artificial Intelligence in Healthcare and Education,10,0,8,0.125
P0402,https://openalex.org/W4393212122,LLMs-based Few-Shot Disease Predictions using EHR: A Novel Approach Combining Predictive Agent Reasoning and Critical Agent Instruction,2024,Hejie Cui,Emory University,US,PubMed,Machine Learning in Healthcare,8,0,7,0.1428571428571428
P0403,https://openalex.org/W4406398723,The design and evaluation of an interactive AI companion for foreign language writing,2025,Nicole Mills,Harvard University,US,Foreign Language Annals,Natural Language Processing Techniques,7,55,4,0.25
P0405,https://openalex.org/W2948250930,The Unreasonable Effectiveness of Transformer Language Models in Grammatical Error Correction,2019,Dimitrios Alikaniotis,University Of Cambridge,GB,Unknown,Natural Language Processing Techniques,4,38,2,0.5
P0407,https://openalex.org/W4393229390,"Data Authenticity, Consent, and Provenance for AI Are All Broken: What Will It Take to Fix Them?",2024,Shayne Longpre,Massachusetts Institute Of Technology,US,Unknown,Artificial Intelligence in Healthcare and Education,9,104,7,0.1428571428571428
P0415,https://openalex.org/W4404310590,Reading Users’ Minds from What They Say: An Investigation into LLM-based Empathic Mental Inference,2024,Qihao Zhu,Singapore University Of Technology And Design,SG,Unknown,Artificial Intelligence in Law,5,0,4,0.25
P0419,https://openalex.org/W4385953063,"Editorial: Responsible AI in healthcare: opportunities, challenges, and best practices",2023,Renwen Zhang,National University Of Singapore,SG,Frontiers in Computer Science,Artificial Intelligence in Healthcare and Education,9,17,4,0.25
P0425,https://openalex.org/W4206110803,Ethical Challenges of Integrating AI into Healthcare,2021,Lisa Soleymani Lehmann,Brigham And Women'S Hospital,US,Artificial Intelligence in Medicine,Artificial Intelligence in Healthcare and Education,4,18,1,1.0
P0426,https://openalex.org/W4396832607,Trust and Reliance in Evolving Human-AI Workflows (TREW),2024,Zahra Ashktorab,Ibm Research - Thomas J. Watson Research Center,US,Unknown,Artificial Intelligence in Healthcare and Education,4,11,8,0.125
P0427,https://openalex.org/W4392858772,Teaching with AI (GPT),2024,Rongxin Liu,Harvard University Press,US,Unknown,Artificial Intelligence in Healthcare and Education,3,0,4,0.25
P0431,https://openalex.org/W4387619796,When to Trust AI: Advances and Challenges for Certification of Neural Networks,2023,Marta Kwiatkowska,University Of Oxford,GB,Annals of Computer Science and Information Systems,Artificial Intelligence in Healthcare and Education,6,72,2,0.5
P0432,https://openalex.org/W3153454972,Transparent AI: reliabilist and proud,2021,Abhishek Mishra,University Of Oxford,GB,Journal of Medical Ethics,Artificial Intelligence in Healthcare and Education,4,6,1,1.0
P0440,https://openalex.org/W3114730627,To Incorporate or Not to Incorporate AI for Critical Judgments: The Importance of Ambiguity in Professionals’ Judgment Process,2020,Sarah Lebovitz,New York University,US,Unknown,Artificial Intelligence in Healthcare and Education,7,0,3,0.3333333333333333
P0448,https://openalex.org/W4360979229,"Interactive Technologies for AI in Healthcare: Diagnosis, Management, and Assistance (ITAH)",2023,Oznur Alkan,King'S College London,GB,Unknown,Artificial Intelligence in Healthcare and Education,5,3,6,0.1666666666666666
P0454,https://openalex.org/W4389628073,Editors’ Statement on the Responsible Use of Generative AI Technologies in Scholarly Journal Publishing,2023,Gregory E. Kaebnick,Hastings Center,US,The American Journal of Bioethics,Artificial Intelligence in Healthcare and Education,9,10,9,0.1111111111111111
P0455,https://openalex.org/W4404689873,Findings of the WMT24 General Machine Translation Shared Task: The LLM Era Is Here but MT Is Not Solved Yet,2024,Tom Kocmi,Microsoft (Germany),DE,Unknown,Natural Language Processing Techniques,6,0,22,0.0454545454545454
P0459,https://openalex.org/W4404187911,Unboxing Occupational Bias: Debiasing LLMs with U.S. Labor Data,2024,Atmika Gorti,"University Of Maryland, Baltimore County",US,Proceedings of the AAAI Symposium Series,Artificial Intelligence in Law,2,0,3,0.3333333333333333
P0461,https://openalex.org/W4388541017,Generative AI: Potential and Pitfalls in Academic Publishing,2023,Jason A. Silverman,University Of Alberta,CA,JPGN Reports,Artificial Intelligence in Healthcare and Education,5,4,5,0.2
P0462,https://openalex.org/W4293780624,Overview and commentary of the CDEI's extended roadmap to an effective AI assurance ecosystem,2022,Ethan Barrance,University College London,GB,Frontiers in Artificial Intelligence,Artificial Intelligence in Healthcare and Education,5,11,6,0.1666666666666666
P0469,https://openalex.org/W3082617223,AI solutions for drafting in Magic: the Gathering,2021,Henry N. Ward,University Of Minnesota System,US,2021 IEEE Conference on Games (CoG),Artificial Intelligence in Games,3,39,5,0.2
P0471,https://openalex.org/W4411552133,SpecRover: Code Intent Extraction via LLMs,2025,Haifeng Ruan,National University Of Singapore,SG,Unknown,Natural Language Processing Techniques,2,22,3,0.3333333333333333
P0472,https://openalex.org/W4400230320,Accuracy scoring of elicited imitation: A tutorial of automating speech data with commercial NLP support,2024,Kathy Minhye Kim,Boston University,US,Research Methods in Applied Linguistics,Natural Language Processing Techniques,3,17,3,0.3333333333333333
P0473,https://openalex.org/W4401568792,Work in Progress: Linear Transformers for TinyML,2024,Moritz Scherer,Eth Zurich,CH,Unknown,Machine Learning and Data Classification,2,0,4,0.25
P0476,https://openalex.org/W3101012756,Cascaded Text Generation with Markov Transformers,2020,Yuntian Deng,Harvard University,US,Neural Information Processing Systems,Natural Language Processing Techniques,2,0,2,0.5
P0480,https://openalex.org/W2922051672,Can We Stop the Academic AI Brain Drain?,2019,Lars Kunze,Science Oxford,GB,KI - Künstliche Intelligenz,Artificial Intelligence in Healthcare and Education,5,0,1,1.0
P0481,https://openalex.org/W4393095317,Abstract 6199: Defining and capturing progression in glioma by harnessing NLP in unstructured electronic health records,2024,Shreya Chappidi,University Of Cambridge,GB,Cancer Research,Artificial Intelligence in Healthcare,2,0,10,0.1
P0483,https://openalex.org/W4403351841,Practical and Ethical Considerations for Generative AI in Medical Imaging,2024,Debesh Jha,Northwestern University,US,Lecture notes in computer science,Artificial Intelligence in Healthcare and Education,5,24,13,0.0769230769230769
P0486,https://openalex.org/W4323034506,"AI in Primary Care, Preventative Medicine, and Triage",2023,Yasmin Abedin,University College London,GB,AI in Clinical Medicine,Artificial Intelligence in Healthcare and Education,3,3,3,0.3333333333333333
P0487,https://openalex.org/W4398250113,Assessment and classification of COVID-19 DNA sequence using pairwise features concatenation from multi-transformer and deep features with machine learning models,2024,Abdul Qayyum,Imperial College London,GB,SLAS TECHNOLOGY,Machine Learning in Bioinformatics,8,31,7,0.1428571428571428
P0489,https://openalex.org/W4313256980,Predicting the future with humans and AI,2022,Barbara A. Mellers,University Of Pennsylvania,US,Consumer Psychology Review,Artificial Intelligence in Healthcare and Education,3,126,3,0.3333333333333333
P0490,https://openalex.org/W4404622724,LLM-CGM: A Benchmark for Large Language Model-Enabled Querying of Continuous Glucose Monitoring Data for Conversational Diabetes Management,2024,Elizabeth Healey,Massachusetts Institute Of Technology,US,Unknown,Artificial Intelligence in Healthcare,4,0,2,0.5
P0491,https://openalex.org/W4384154854,AI in search of human help,2023,Ashley Barbara Heim,Cornell University,US,Science,Artificial Intelligence in Healthcare and Education,3,0,12,0.0833333333333333
P0496,https://openalex.org/W4400463205,Exploring AI for intercultural communication: open conversation,2024,Hua Zhu,The London College,GB,Applied Linguistics Review,Natural Language Processing Techniques,3,0,10,0.1
P0497,https://openalex.org/W4401857346,Artificial Intelligence and Data Science for Healthcare: Bridging Data-Centric AI and People-Centric Healthcare,2024,Shenda Hong,Peking University,CN,Unknown,Artificial Intelligence in Healthcare,6,0,12,0.0833333333333333
P0498,https://openalex.org/W4399180325,Perspective on AI for accelerated materials design at the AI4Mat-2023 workshop at NeurIPS 2023,2024,Santiago Miret,Intel (United States),US,Digital Discovery,Machine Learning in Materials Science,5,7,6,0.1666666666666666
P0504,https://openalex.org/W4409770956,Academic integrity in the generative AI (GenAI) era: a collective editorial response,2025,Ahmed Tlili,Beijing Normal University,CN,Interactive Learning Environments,Artificial Intelligence in Healthcare and Education,6,1,6,0.1666666666666666
